//Reference=MNI
//Bossini et al., 2017; HCs > PTSD		
// Subjects:19		
-17	-22	-20
2	23	55
18	24	48
-21	-57	-11
-12	26	55
		
//Cheng et al., 2015; HCs > PTSD		
// Subjects:30		
-5	-4	-9
-54	-45	40
53	-25	-23
		
//O'Dohetry et al., 2017; HCs > PTSD		
// Subjects:25		
-22	-2	-28
28	-2	-28
0	34	-8
2	32	-8
-4	-26	38
2	-28	40
8	44	-22
-36	28	-22
36	28	-22
-2	58	4
16	70	2
-22	-8	-28
28	-10	-28
-40	-4	0
38	-6	-6
-42	6	48
48	30	22
0	34	-12
2	48	6
-6	-76	30
8	-72	34
-16	6	-12
20	8	-12
-4	56	22
4	54	24
-2	-4	-2
			
//Chen et al., 2012; HCs > PTSD		
// Subjects:10		
-6	26	20
		
//Eckart et al., 2011; HCs > PTSD		
// Subjects:13		
-10	-48	28
30	-80	32
34	-80	20
-14	44	14
16	40	16
		
//Hakamata et al., 2007; HCs > PTSD		
// Subjects:14		
14	51	-27
		
//Sui et al., 2010; HCs > PTSD		
// Subjects:11		
-9	68	11
4	64	-4
-31	54	2
-51	7	-26
-31	-82	-18
		
//Tavanti et al., 2012; HCs > PTSD		
// Subjects:25		
-11.03	-49.19	2.7
14.71	-47.38	2.74
-19.16	54.88	21.64
-42.98	29.5	19.5
49.65	-57.88	-19.42
-6.38	-75.69	6.67
7.05	-73.84	7.42
-39.31	-82.2	-16.05
43.67	-75.51	-12.75
-10.53	-65.65	-4.75
10.97	-62.72	-1.83
-42.48	23.45	35.33
-26.16	-77.03	-14.81
33.74	-72.01	-14.16
-15.42	-95.25	-9.08
18.57	-92.38	-4.96
-4.05	47.48	28.52
-53.02	-14.79	40.35
-51.06	-6.51	40.61
-12.46	-56.51	6.56
14.28	-54.83	6.88
-3.87	52.25	31.53
-2	-84	8.95
1.57	-82.69	8.57
-32.07	-58.09	-14.22
38.91	-56.86	-17.29
		
