Experiment	1
Chao et al., 2012; TrauE > PTSD-	0.0
Chen et al., 2009; TrauE > PTSD-	0.10296023159156768
Flemingham et al., 2009; TrauE > PTSD-	0.1969078593600538
Hakamata et al., 2007; TrauE > PTSD-	0.0
Herringa et al., 2012; TrauE > PTSD-	0.0
Kasi et al., 2008; TrauE > PTSD-	0.15725353307216286
Kroes et al., 2011; TrauE > PTSD-	0.13733432701201428
Li et al., 2006; TrauE > PTSD-	0.13591020482123403
Nardo et al., 2010; TrauE > PTSD-	0.0
O'Dohetry et al., 2017; TrauE > PTSD-	0.11149776632437684
Qi et al., 2020; TrauE > PTSD-	0.11110554768459623
Rocha-Rego et al., 2012; TrauE > PTSD-	0.047030530133994324
Sui et al., 2010; TrauE > PTSD-	0.0
Yamasue et al., 2003; TrauE > PTSD-	0.0
Zhang et al., 2011; TrauE > PTSD-	0.0
Zhang et al., 2018; TrauE > PTSD-	0.0
