Experiment	1
Bossini et al., 2017; HCs > PTSD-	0.0
Chao et al., 2012; TrauE > PTSD-	0.0
Chen et al., 2009; TrauE > PTSD-	0.07754246931602932
Chen et al., 2012; HCs > PTSD-	1.8111361554289107e-06
Cheng et al., 2015; HCs > PTSD-	0.0
Corbo et al., 2005; HCs > PTSD-	0.00048550427458144183
Eckart et al., 2011; HCs > PTSD-	0.003726868250226739
Flemingham et al., 2009; TrauE > PTSD-	0.17726732120885016
Hakamata et al., 2007; HCs > PTSD-	0.0
Hakamata et al., 2007; TrauE > PTSD-	0.0
Herringa et al., 2012; TrauE > PTSD-	0.0
Kasi et al., 2008; TrauE > PTSD-	0.127297447922204
Kroes et al., 2011; TrauE > PTSD-	0.10260130547992467
Li et al., 2006; TrauE > PTSD-	0.10811390636062501
Nardo et al., 2010; TrauE > PTSD-	0.0
O'Dohetry et al., 2017; HCs > PTSD-	0.17853811380041207
O'Dohetry et al., 2017; TrauE > PTSD-	0.10818647555362784
Qi et al., 2020; TrauE > PTSD-	0.08763123902495257
Rocha-Rego et al., 2012; TrauE > PTSD-	0.026660997228575428
Sui et al., 2010; HCs > PTSD-	0.0018493397739574257
Sui et al., 2010; TrauE > PTSD-	0.0
Tavanti et al., 2012; HCs > PTSD-	9.720066987785821e-05
Yamasue et al., 2003; TrauE > PTSD-	0.0
Zhang et al., 2011; TrauE > PTSD-	0.0
Zhang et al., 2018; TrauE > PTSD-	0.0
